,equity
2020-11-25 00:00:00+00:00,10614.046463472887
2020-11-26 00:00:00+00:00,10614.046463472887
2020-11-27 00:00:00+00:00,10713.066581339099
2020-11-30 00:00:00+00:00,10713.066581339099
2020-12-01 00:00:00+00:00,10713.066581339099
2020-12-02 00:00:00+00:00,10713.066581339099
2020-12-03 00:00:00+00:00,10901.96917749317
2020-12-04 00:00:00+00:00,10953.330422203995
2020-12-07 00:00:00+00:00,10952.975450629086
2020-12-08 00:00:00+00:00,10952.975450629086
2020-12-09 00:00:00+00:00,10952.975450629086
2020-12-10 00:00:00+00:00,10861.804261008374
2020-12-11 00:00:00+00:00,10991.045293400522
2020-12-14 00:00:00+00:00,10991.045293400522
2020-12-15 00:00:00+00:00,10991.045293400522
2020-12-16 00:00:00+00:00,11001.498873586625
2020-12-17 00:00:00+00:00,11104.697721518472
2020-12-18 00:00:00+00:00,11104.697721518472
2020-12-21 00:00:00+00:00,11103.569438058175
2020-12-22 00:00:00+00:00,11103.569438058175
2020-12-23 00:00:00+00:00,11103.569438058175
2020-12-24 00:00:00+00:00,11103.569438058175
2020-12-25 00:00:00+00:00,11103.569438058175
2020-12-28 00:00:00+00:00,11103.569438058175
2020-12-29 00:00:00+00:00,11103.569438058175
2020-12-30 00:00:00+00:00,11103.569438058175
2020-12-31 00:00:00+00:00,11103.569438058175
2021-01-01 00:00:00+00:00,11292.339533337281
2021-01-04 00:00:00+00:00,11303.75309097924
2021-01-05 00:00:00+00:00,11303.75309097924
2021-01-06 00:00:00+00:00,11355.92862806082
2021-01-07 00:00:00+00:00,11355.92862806082
2021-01-08 00:00:00+00:00,11261.572774445613
2021-01-11 00:00:00+00:00,11261.572774445613
2021-01-12 00:00:00+00:00,11261.572774445613
2021-01-13 00:00:00+00:00,11261.572774445613
2021-01-14 00:00:00+00:00,11261.572774445613
2021-01-15 00:00:00+00:00,11261.572774445613
2021-01-18 00:00:00+00:00,11261.572774445613
2021-01-19 00:00:00+00:00,11261.572774445613
2021-01-20 00:00:00+00:00,11261.572774445613
2021-01-21 00:00:00+00:00,11314.357231829756
2021-01-22 00:00:00+00:00,11314.357231829756
2021-01-25 00:00:00+00:00,11313.719603365123
2021-01-26 00:00:00+00:00,11313.719603365123
2021-01-27 00:00:00+00:00,11199.85170499944
2021-01-28 00:00:00+00:00,11199.85170499944
2021-01-29 00:00:00+00:00,11199.85170499944
2021-02-01 00:00:00+00:00,11199.85170499944
2021-02-02 00:00:00+00:00,11199.85170499944
2021-02-03 00:00:00+00:00,11199.85170499944
2021-02-04 00:00:00+00:00,11199.85170499944
2021-02-05 00:00:00+00:00,11199.85170499944
2021-02-08 00:00:00+00:00,11199.85170499944
2021-02-09 00:00:00+00:00,11199.85170499944
2021-02-10 00:00:00+00:00,11149.033568768411
2021-02-11 00:00:00+00:00,11201.638039866162
2021-02-12 00:00:00+00:00,11201.638039866162
2021-02-15 00:00:00+00:00,11201.638039866162
2021-02-16 00:00:00+00:00,11201.638039866162
2021-02-17 00:00:00+00:00,11210.777781206241
2021-02-18 00:00:00+00:00,11210.777781206241
2021-02-19 00:00:00+00:00,11145.875682963935
2021-02-22 00:00:00+00:00,11179.252633657969
2021-02-23 00:00:00+00:00,11144.319599326018
2021-02-24 00:00:00+00:00,11282.392938747545
2021-02-25 00:00:00+00:00,11282.392938747545
2021-02-26 00:00:00+00:00,11282.392938747545
2021-03-01 00:00:00+00:00,11282.392938747545
2021-03-02 00:00:00+00:00,11282.392938747545
2021-03-03 00:00:00+00:00,11282.392938747545
2021-03-04 00:00:00+00:00,11282.392938747545
2021-03-05 00:00:00+00:00,11282.392938747545
