config,ret,dd,sharpe,wr,tpm,pf,trades,pos_years,y2020,y2022,y2024,y2025,halt20_ret,halt20_dd
r1.5_1.0_tp4.0_a15_20,24.13,24.68,0.262,31.07,15.74,1.061,1133,3,-4.534836767607231,4.398215343561573,-2.4647919407885466,1.715380594847682,21.25,20.17
r1.5_1.0_tp4.0_a15_22,31.12,24.66,0.317,29.53,13.64,1.084,982,3,-4.101470695689436,2.7065294154482666,-2.6212438682827077,0.13823959100396355,32.17,19.88
r1.5_1.0_tp4.0_a15_25,32.5,25.91,0.33,26.86,11.38,1.092,819,2,-2.6347533830278325,0.4561393511992362,-1.430706182496766,-1.9188461666016288,35.35,19.92
r1.5_1.0_tp4.0_a18_20,10.37,28.75,0.151,30.65,15.5,1.027,1116,2,-7.102607282840301,5.559659480751078,-7.209436404756541,-1.2353683676636917,15.91,20.11
r1.5_1.0_tp4.0_a18_22,11.33,27.7,0.16,29.02,13.41,1.031,965,2,-7.014556404244998,3.238640278846927,-7.362539944391133,-2.767709426397691,17.82,19.78
r1.5_1.0_tp4.0_a18_25,13.6,28.67,0.178,26.18,11.14,1.038,802,2,-6.4608481801323725,2.163420761556356,-6.2296489303682705,-4.763517465523648,23.04,19.63
r1.5_1.0_tp4.0_a20_20,-3.73,33.24,0.018,30.57,15.09,0.989,1086,2,-7.129924770888774,13.335915104921714,-12.953302520831256,-5.971102133815476,-7.74,20.19
r1.5_1.0_tp4.0_a20_22,-6.7,32.62,-0.014,28.88,12.99,0.979,935,2,-6.7557472972710535,10.791191919882316,-13.100201525511002,-7.429855090499771,-7.36,20.13
r1.5_1.0_tp4.0_a20_25,-2.72,33.61,0.03,25.91,10.72,0.991,772,2,-6.152843399808317,9.67904441394445,-11.88893783528313,-9.32943548609596,14.6,20.22
r2.0_0.5_tp3.0_a15_20,14.07,28.8,0.184,33.83,15.77,1.037,1135,2,-0.4553197788888852,-2.681122148743431,2.6371688947882443,-3.110193771904457,21.33,20.27
r2.0_0.5_tp3.0_a15_22,15.5,27.83,0.196,32.72,13.67,1.042,984,2,-0.12901580533939416,-2.3108024897732893,2.550675792099022,-3.897360745098455,22.55,20.44
r2.0_0.5_tp3.0_a15_25,13.82,28.21,0.182,30.69,11.41,1.039,821,3,0.6975795978421795,-2.917481857974491,3.1277163360862614,-5.089506260005794,23.11,20.06
r2.0_0.5_tp3.0_a18_20,12.08,28.09,0.165,33.72,15.53,1.031,1118,4,4.643080821596812,1.2324183675897604,0.6972296870658035,-4.755347339084059,17.81,20.08
r2.0_0.5_tp3.0_a18_22,12.54,27.29,0.169,32.57,13.43,1.032,967,4,4.983699393507912,0.0231945719239679,0.6102111009069988,-5.532286308018863,18.48,20.13
r2.0_0.5_tp3.0_a18_25,10.93,28.07,0.156,30.47,11.17,1.029,804,3,5.855605730431734,-0.9552588220880565,1.1757068966548267,-6.706527350048308,19.22,20.03
r2.0_0.5_tp3.0_a20_20,-22.05,31.18,-0.189,33.09,15.16,0.925,1091,2,-11.14339142938553,4.514667448912002,-7.653658030960564,-12.032504552558665,-10.93,20.0
r2.0_0.5_tp3.0_a20_22,-21.49,32.02,-0.18,31.81,13.06,0.926,940,2,-10.749824520884843,6.245560904609504,-8.311346823649945,-12.752712809919464,-10.64,20.04
r2.0_0.5_tp3.0_a20_25,-25.3,32.48,-0.239,29.47,10.79,0.907,777,2,-11.211034453707269,1.01235496974037,-7.215968085377655,-13.837634643029817,-11.56,20.06
r2.0_0.5_tp4.0_a15_20,33.27,30.36,0.297,31.07,15.74,1.076,1133,3,-4.463878968330725,2.8596199691724777,-4.401141130736253,-2.621880288207168,42.5,20.4
r2.0_0.5_tp4.0_a15_22,34.79,30.18,0.306,29.53,13.64,1.081,982,3,-3.5886928156330655,2.5402257189376387,-4.479050347374313,-3.413082694283198,48.29,19.63
r2.0_0.5_tp4.0_a15_25,33.45,30.59,0.3,26.86,11.38,1.081,819,2,-4.35566558773508,2.1766987231392587,-3.943339124655998,-4.597215646344665,48.5,19.67
r2.0_0.5_tp4.0_a18_20,6.6,36.31,0.121,30.65,15.5,1.016,1116,1,-5.917946689562381,-1.5857051665365551,-10.078450480506508,-6.138440853309013,27.17,20.2
r2.0_0.5_tp4.0_a18_22,7.98,35.97,0.131,29.02,13.41,1.02,965,1,-5.4946002674788215,-1.6266305579788587,-10.154316857997337,-6.9014767166167506,29.53,20.25
r2.0_0.5_tp4.0_a18_25,11.27,36.6,0.154,26.18,11.14,1.028,802,1,-5.161485452302483,-2.1448902720902607,-9.651557479403072,-8.041397279815909,35.38,20.2
r2.0_0.5_tp4.0_a20_20,-7.86,39.71,0.005,30.57,15.09,0.98,1086,2,-6.560589582234899,10.028360969599358,-17.21087801240666,-12.175079937628542,-5.99,20.16
r2.0_0.5_tp4.0_a20_22,-9.89,40.29,-0.015,28.88,12.99,0.974,935,2,-6.142530849656325,8.752509744053727,-16.76159932672587,-12.888637139031289,-5.52,20.07
r2.0_0.5_tp4.0_a20_25,-12.72,41.09,-0.042,25.91,10.72,0.965,772,2,-6.3792778566356345,8.401704069906724,-16.29891713959124,-13.954868462160396,-6.76,20.31
r2.0_0.75_tp3.0_a15_20,15.66,28.87,0.195,33.83,15.77,1.039,1135,2,-0.6702798189150982,-1.6973183893067456,2.778047231536296,-1.7206465685922212,20.73,20.46
r2.0_0.75_tp3.0_a15_22,16.06,28.37,0.199,32.72,13.67,1.042,984,2,-0.3982800351668758,-2.513029516301757,2.6675709674615966,-2.8734966290776653,23.03,20.2
r2.0_0.75_tp3.0_a15_25,17.12,27.74,0.208,30.69,11.41,1.046,821,3,0.9124682983420396,-2.1046826613302927,3.591308723079223,-4.485324266465973,24.83,20.05
