date,open,high,low,close,volume
2023-03-28 08:00:00,1.08202,1.08365,1.08103,1.08312,77048.28
2023-03-28 12:00:00,1.08313,1.08468,1.08163,1.08427,104104.41
2023-03-28 16:00:00,1.08428,1.08485,1.08313,1.08476,34832.6
2023-03-28 20:00:00,1.08475,1.08475,1.08364,1.08388,12928.81
2023-03-29 00:00:00,1.0839,1.08494,1.08346,1.08364,32512.72
2023-03-29 04:00:00,1.08364,1.08438,1.08177,1.08368,50249.33
2023-03-29 08:00:00,1.08368,1.08713,1.08265,1.08551,65424.5
2023-03-29 12:00:00,1.08551,1.08599,1.08246,1.08249,107058.55
2023-03-29 16:00:00,1.08252,1.08481,1.08234,1.08393,41373.06
2023-03-29 20:00:00,1.08391,1.08485,1.08383,1.08425,10141.16
2023-03-30 00:00:00,1.08424,1.08434,1.08263,1.08329,28782.45
2023-03-30 04:00:00,1.0833,1.08577,1.08235,1.08547,56026.0
2023-03-30 08:00:00,1.08547,1.08844,1.08505,1.08787,65276.91
2023-03-30 12:00:00,1.08788,1.09262,1.08785,1.08979,91620.97
2023-03-30 16:00:00,1.08979,1.09077,1.0892,1.09068,35170.34
2023-03-30 20:00:00,1.09067,1.09074,1.09018,1.09041,9262.64
2023-03-31 00:00:00,1.0904,1.09257,1.09012,1.09068,41270.45
2023-03-31 04:00:00,1.09067,1.09107,1.088,1.08845,56246.7
2023-03-31 08:00:00,1.08846,1.08959,1.08641,1.0867,84410.95
2023-03-31 12:00:00,1.08672,1.09018,1.08574,1.08718,125046.37
2023-03-31 16:00:00,1.08718,1.08723,1.0843,1.08456,36403.15
2023-03-31 20:00:00,1.08457,1.0846,1.08368,1.08386,4448.63
2023-04-02 20:00:00,1.08398,1.0844,1.08011,1.08023,19590.87
2023-04-03 00:00:00,1.08024,1.08167,1.07882,1.07899,40788.13
2023-04-03 04:00:00,1.079,1.08418,1.07891,1.0839,58263.91
2023-04-03 08:00:00,1.08389,1.08777,1.08299,1.08765,73328.2
2023-04-03 12:00:00,1.08764,1.09165,1.08615,1.08903,117924.88
2023-04-03 16:00:00,1.08902,1.09074,1.08799,1.09062,37122.86
2023-04-03 20:00:00,1.09061,1.09095,1.09,1.09066,10092.11
2023-04-04 00:00:00,1.09067,1.09097,1.08884,1.08885,43979.58
2023-04-04 04:00:00,1.08886,1.0938,1.08828,1.0925,65794.79
2023-04-04 08:00:00,1.0925,1.09359,1.08958,1.08974,86641.32
2023-04-04 12:00:00,1.08974,1.09733,1.08867,1.09506,135499.42
2023-04-04 16:00:00,1.09506,1.09576,1.09432,1.09571,31772.8
2023-04-04 20:00:00,1.09572,1.09614,1.09471,1.09575,9490.93
2023-04-05 00:00:00,1.09576,1.09695,1.09553,1.09596,38568.52
2023-04-05 04:00:00,1.09596,1.09673,1.09466,1.09501,56336.93
2023-04-05 08:00:00,1.09502,1.09603,1.09348,1.0941,67122.87
2023-04-05 12:00:00,1.0941,1.09668,1.09027,1.09173,132481.32
2023-04-05 16:00:00,1.09173,1.09197,1.0891,1.09037,35401.81
2023-04-05 20:00:00,1.09035,1.09103,1.09011,1.09029,7798.5
2023-04-06 00:00:00,1.09029,1.09043,1.08845,1.08918,32855.02
2023-04-06 04:00:00,1.08918,1.0917,1.08896,1.09066,51699.3
2023-04-06 08:00:00,1.09065,1.09167,1.08923,1.09151,62295.59
2023-04-06 12:00:00,1.0915,1.09283,1.08858,1.09259,98060.93
2023-04-06 16:00:00,1.09258,1.09375,1.09213,1.09229,24429.94
